+----+------------------+------------------+-------------+
| №  | Дата/время       | Температура (°C) | Осадки (мм) |
+----+------------------+------------------+-------------+
| 1  | 2026-05-06T00:00 | 16.5             | 0.0         |
| 2  | 2026-05-06T01:00 | 15.9             | 0.0         |
| 3  | 2026-05-06T02:00 | 15.3             | 0.0         |
| 4  | 2026-05-06T03:00 | 14.0             | 0.0         |
| 5  | 2026-05-06T04:00 | 13.4             | 0.0         |
| 6  | 2026-05-06T05:00 | 13.1             | 0.0         |
| 7  | 2026-05-06T06:00 | 14.6             | 0.0         |
| 8  | 2026-05-06T07:00 | 16.9             | 0.0         |
| 9  | 2026-05-06T08:00 | 19.0             | 0.0         |
| 10 | 2026-05-06T09:00 | 21.8             | 0.0         |
| 11 | 2026-05-06T10:00 | 24.0             | 0.0         |
| 12 | 2026-05-06T11:00 | 26.0             | 0.0         |
| 13 | 2026-05-06T12:00 | 26.6             | 0.0         |
| 14 | 2026-05-06T13:00 | 27.4             | 0.0         |
| 15 | 2026-05-06T14:00 | 27.3             | 0.0         |
| 16 | 2026-05-06T15:00 | 27.8             | 0.0         |
| 17 | 2026-05-06T16:00 | 27.0             | 0.0         |
| 18 | 2026-05-06T17:00 | 26.2             | 0.0         |
| 19 | 2026-05-06T18:00 | 25.5             | 0.0         |
| 20 | 2026-05-06T19:00 | 23.9             | 0.0         |
| 21 | 2026-05-06T20:00 | 20.8             | 0.0         |
| 22 | 2026-05-06T21:00 | 18.8             | 0.0         |
| 23 | 2026-05-06T22:00 | 17.3             | 0.0         |
| 24 | 2026-05-06T23:00 | 15.9             | 0.0         |
+----+------------------+------------------+-------------+
